information,LUMO,HOMO,298K_Atomization_Energy,Diatomic,Bond_length,Rotational_constant,0K_Enthalpy_of_formation,Electric_dipole_moment,Ionization_Energy,Polarizability,neighbor_A_n,neighbor_B_n,coordination_number_n,neighbor_A_2,neighbor_B_2,coordination_number_2,neighbor_A_3,neighbor_B_3,coordination_number_3,neighbor_A_4,neighbor_B_4,coordination_number_4,neighbor_A_5,neighbor_B_5,coordination_number_5,neighbor_A_6,neighbor_B_6,coordination_number_6,bulknn,local_electron_affinity_n,local_electron_affinity_2,local_electron_affinity_3,local_electron_affinity_4,local_electron_affinity_5,local_electron_affinity_6,atomic_number_A,atomic_radius_A,dbcenter_A,d_skew_A,db_filling_A,electron_affinity_A,dipole_polarizability_A,heat_of_formation_A,en_pauling_A,vdw_radius_A,ionenergies_A,Work_Function_A,273K_Thermal_Conductivity_A,class_transition_A,class_covalent_A,class_nonmetal_A,rd_A,Vsd2_A,inner_3s_A,inner_3p_A,inner_3d_A,inner_4s_A,inner_4p_A,inner_4d_A,inner_4f_A,inner_5s_A,inner_5p_A,inner_5d_A,inner_6s_A,outer_s_A,outer_p_A,outer_d_A,outer_f_A,atomic_number_B,atomic_radius_B,dbcenter_B,d_skew_BB,db_filling_B,electron_affinity_B,dipole_polarizability_B,heat_of_formation_B,en_pauling_B,vdw_radius_B,ionenergies_B,Work_Function_B,273K_Thermal_Conductivity_B,class_transition_B,class_covalent_B,class_nonmetal_B,rd_B,Vsd2_B,inner_3s_B,inner_3p_B,inner_3d_B,inner_4s_B,inner_4p_B,inner_4d_B,inner_4f_B,inner_5s_B,inner_5p_B,inner_5d_B,inner_6s_B,outer_s_B,outer_p_B,outer_d_B,outer_f_B,Adsorption Energy
Cu3Sc1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7.333333333,2,1,7.333333333,5,2,8.142857143,6,2,8.25,7,2,8,9,3,7.583333333,2.771012121,1.45028928,1.45028928,1.417375653,1.393181559,1.374649812,1.393181559,29,128,-2.39711738,0.402188038,0.946906307,1.235,46.5,337.4,1.9,196,7.72638,9.63,403,1,0,0,0.67,1,2,6,10,2,3,0,0,0,0,0,0,1,0,10,0,21,162,1.039495957,,,0.188,142.28,377.8,1.36,215,6.56149,3.5,15.7,1,0,0,1.24,7.9,2,6,10,2,3,0,0,0,0,0,0,2,0,1,0,0.239227793
Ru3Rh1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,2,7.2,6,2,7.875,6,2,7.875,9,3,7.25,2.706915158,1.05,1.05,1.358706264,1.23352931,1.23352931,1.23352931,44,134,-1.190931237,0.042008199,0.671850929,1.05,65,650.6,2.2,213,7.3605,4.71,117,1,0,0,1.05,3.87,2,6,10,2,6,0,0,0,0,0,0,1,0,7,0,45,134,-1.74842118,0.091325648,0.783981104,1.137,58,556,2.28,210,7.4589,4.98,151,1,0,0,0.99,3.32,2,6,10,2,6,0,0,0,0,0,0,1,0,8,0,-1.510111802
Zr3Nb1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,2,1,7,5,2,7.714285714,6,2,7.875,7,2,7.666666667,3.146646025,0.713317805,0.713317805,0.713317805,0.662675846,0.627068086,0.600701306,40,160,1.77722146,0.017719717,0.289232383,0.426,121,610,1.33,223,6.6339,4.05,23.2,1,0,0,1.41,10.9,2,6,10,2,6,0,0,0,0,0,0,2,0,2,0,41,146,1.444067382,0.020573758,0.411448752,0.917406,106,733,1.6,218,6.75885,4.41,53.3,1,0,0,1.28,7.73,2,6,10,2,6,0,0,0,0,0,0,1,0,4,0,-5.4174521
Co3Nb1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7.333333333,2,1,7.333333333,5,2,8.142857143,6,2,8.25,7,2,8,9,3,7.583333333,2.577083857,0.957254612,0.957254612,0.908176258,0.873025947,0.846630116,0.873025947,27,125,-2.248000961,0.273248244,0.940522289,0.66225646,57.71,426.7,1.88,200,7.88101,5,105,1,0,0,0.76,1.34,2,6,10,2,3,0,0,0,0,0,0,2,0,7,0,41,146,1.444067382,0.020573758,0.411448752,0.917406,106,733,1.6,218,6.75885,4.41,53.3,1,0,0,1.28,7.73,2,6,10,2,6,0,0,0,0,0,0,1,0,4,0,-1.352663742
Nb3Ru1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,1,7.5,5,2,7.714285714,6,2,7.875,9,2,7.363636364,2.908075568,0.917406,0.917406,1.11475308,1.146216983,1.11475308,1.057064015,41,146,1.444067382,0.020573758,0.411448752,0.917406,106,733,1.6,218,6.75885,4.41,53.3,1,0,0,1.28,7.73,2,6,10,2,6,0,0,0,0,0,0,1,0,4,0,44,134,-1.190931237,0.042008199,0.671850929,1.05,65,650.6,2.2,213,7.3605,4.71,117,1,0,0,1.05,3.87,2,6,10,2,6,0,0,0,0,0,0,1,0,7,0,-4.612781002
Fe3Cd1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,1,7.75,3,0,7,3,2,7.4,6,2,8,9,2,7.454545455,9,3,7.333333333,2.712258198,0.288064811,0.151,0.424422273,0.288064811,0.241538627,0.288064811,26,126,-1.481436177,0.179259374,0.903397814,0.151,63.93,415.5,1.83,204,7.9024678,4.74,83.5,1,0,0,0.8,1.59,2,6,10,2,3,0,0,0,0,0,0,2,0,6,0,48,154,-8.924266924,5.302432968,0.993751837,,49.65,111.8,1.69,218,8.993822,4.08,97.5,1,0,0,0.65,1.58,2,6,10,2,6,0,0,0,0,0,0,2,0,10,0,-0.886347699
Au3Ir1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,0,1,7,0,1,7,3,1,6.25,3,1,6.25,6,2,7.625,6,2,7.625,2.907676901,2,2,2.227271963,2.227271963,2.227271963,2.227271963,79,146,-3.611699503,0.381963433,0.968210706,2.30863,36.1,368.2,2.4,214,9.225553,5.285,319,1,0,0,1.01,3.35,2,6,10,2,6,10,0,2,6,0,0,1,0,10,14,77,136,-2.323498504,0.035275443,0.769138113,1.5638,51,669,2.2,213,8.96702,5.335,148,1,0,0,1.08,4.45,2,6,10,2,6,10,0,2,6,0,0,2,0,7,14,1.364407631
Fe3Tl1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,6,1,7.714285714,6,2,7.875,6,3,7.666666667,9,3,7.25,2.754033781,0.151,0.151,0.218408854,0.288064811,0.357268421,0.288064811,26,126,-1.481436177,0.179259374,0.903397814,0.151,63.93,415.5,1.83,204,7.9024678,4.74,83.5,1,0,0,0.8,1.59,2,6,10,2,3,0,0,0,0,0,0,2,0,6,0,81,171,4.95989845,,,0.377,51.7,182.2,1.8,196,6.108287,3.84,46.9,0,1,0,0.6,,2,6,10,2,6,10,14,2,6,10,2,0,1,0,0,-0.05393133
Ni3Sn1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,2,7.2,6,2,7.875,8,2,7.5,9,3,7.25,2.653802392,1.156,1.156,1.439417236,1.325793466,1.289948187,1.325793466,28,124,-1.704559039,0.257788923,0.92586843,1.156,51.1,430.1,1.91,197,7.639877,5.195,94.1,1,0,0,0.71,1.16,2,6,10,2,3,0,0,0,0,0,0,2,0,8,0,50,162,-21.76422189,66.68357887,0.999454261,1.112067,42.4,301.2,1.96,217,7.343917,4.42,68.2,0,0,1,0.59,,2,6,10,2,6,10,0,2,0,0,0,0,2,0,0,1.613197776
Cd3Ni1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,1,6.5,3,1,6.5,4,1,6.8,6,2,7.5,6,2,7.5,9,3,7,2.983348353,,,,,,,48,154,-8.924266924,5.302432968,0.993751837,,49.65,111.8,1.69,218,8.993822,4.08,97.5,1,0,0,0.65,1.58,2,6,10,2,6,0,0,0,0,0,0,2,0,10,0,28,124,-1.704559039,0.257788923,0.92586843,1.156,51.1,430.1,1.91,197,7.639877,5.195,94.1,1,0,0,0.71,1.16,2,6,10,2,3,0,0,0,0,0,0,2,0,8,0,3.376194765
